freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,F,Y20-64,NAT,DK	5.4 	5.3 b	5.0 b	4.4 	4.5 	5.1 	4.3 b	3.6 	4.3 b	5.1 
A,PC,F,Y20-64,NAT,EE	5.6 	5.4 	4.7 	4.3 	4.2 	6.4 	4.6 b	4.5 	5.5 	6.2 
A,PC,F,Y20-64,NAT,EL	28.6 	27.8 	25.6 	23.6 	20.7 	18.8 	18.2 b	15.8 	13.8 	12.1 
A,PC,F,Y20-64,NAT,ES	22.2 	20.2 	17.9 	15.8 	14.7 	15.4 	15.0 bd	13.3 d	12.5 d	11.2 d
A,PC,F,Y20-64,NAT,EU27_2020	9.5 	8.7 	7.8 	6.9 	6.3 	6.5 	6.5 b	5.7 	5.6 	5.3 
A,PC,F,Y20-64,NAT,FI	7.8 	7.3 	7.3 	6.2 	5.2 	6.4 	5.7 b	5.4 	4.9 	5.7 
A,PC,F,Y20-64,NAT,FR	9.0 	8.9 	8.4 	8.2 	7.5 	7.1 	6.8 bd	6.2 d	6.4 d	6.2 d
A,PC,F,Y20-64,NAT,HR	16.4 	13.1 	11.5 	9.0 	6.9 	7.0 	7.5 b	7.5 	6.4 	4.6 
A,PC,F,Y20-64,NAT,HU	6.9 	5.0 	4.5 	3.8 b	3.4 	4.3 	4.1 b	3.4 	4.0 	4.2 
A,PC,F,Y20-64,NAT,IE	8.2 	6.8 	5.6 b	4.6 	3.8 	4.7 	5.0 b	3.7 	3.2 	3.2 
A,PC,F,Y20-64,NAT,IS	3.5 	2.6 	2.0 	2.0 	2.7 	4.5 b	5.0 b	2.7 	2.2 	2.5 
A,PC,F,Y20-64,NAT,IT	11.8 	12.0 	11.7 	11.0 b	10.2 	9.6 	9.7 b	8.5 	8.1 	6.7 
A,PC,F,Y20-64,NAT,LT	8.3 	6.8 	5.8 	5.5 	5.6 	7.9 	6.8 b	5.6 	6.5 	6.5 
A,PC,F,Y20-64,NAT,LU	4.1 b	3.5 	3.2 	4.0 	3.1 	3.2 	3.4 b	3.3 	4.4 u	4.4 u
A,PC,F,Y20-64,NAT,LV	8.2 	8.1 	7.7 	6.2 	5.4 	6.9 	6.2 b	5.3 	5.5 	5.7 
A,PC,F,Y20-64,NAT,ME	16.9 	16.5 	16.8 	15.7 	16.3 	18.8 	: 	: 	: 	: 
A,PC,F,Y20-64,NAT,MK	25.0 	22.5 	21.6 	19.6 	18.4 	15.8 	: 	: 	: 	: 
A,PC,F,Y20-64,NAT,MT	4.5 	4.7 	3.9 	3.0 	2.7 	3.5 	2.4 b	2.0 	2.2 u	1.8 
A,PC,F,Y20-64,NAT,NL	6.3 	5.7 	4.6 	3.3 	2.7 	3.2 	3.4 b	2.9 	2.8 	2.9 
A,PC,F,Y20-64,NAT,NO	2.9 	2.9 	2.7 	2.4 	2.4 	2.8 	2.6 b	2.0 	2.0 	2.2 
A,PC,F,Y20-64,NAT,PL	7.7 	6.1 	4.8 	3.8 	3.5 b	3.3 	3.3 b	2.8 	2.7 	2.9 
A,PC,F,Y20-64,NAT,PT	12.3 	11.0 	9.2 	7.1 	6.7 	6.8 	6.7 b	6.1 	6.2 	6.1 
