freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,M,Y20-64,NEU27_2020_FOR,DE	12.2 	12.3 	12.4 	11.2 	10.2 	12.9 b	10.4 b	8.1 	7.8 	9.1 
A,PC,M,Y20-64,NEU27_2020_FOR,DK	14.1 	13.5 b	13.3 b	11.0 	8.6 	10.1 	7.4 b	8.7 	8.7 b	9.7 
A,PC,M,Y20-64,NEU27_2020_FOR,EE	8.8 	12.7 	10.8 	8.9 	6.0 	10.6 	10.7 b	9.4 	7.6 	9.6 
A,PC,M,Y20-64,NEU27_2020_FOR,EL	30.9 	26.6 	24.2 	20.1 	20.7 	22.2 	14.0 b	10.7 	8.0 	8.7 
A,PC,M,Y20-64,NEU27_2020_FOR,ES	32.6 	26.5 	23.7 	22.1 	20.0 	22.9 	21.1 bd	17.6 d	16.1 d	16.2 d
A,PC,M,Y20-64,NEU27_2020_FOR,EU27_2020	19.6 	17.6 	16.2 	14.8 	13.2 	15.1 	13.6 b	11.1 	10.6 	10.9 
A,PC,M,Y20-64,NEU27_2020_FOR,FI	17.8 	19.1 	14.7 	15.1 	13.9 	14.2 	14.5 b	14.1 	14.2 	16.5 
A,PC,M,Y20-64,NEU27_2020_FOR,FR	25.3 	22.6 	21.4 	18.9 	16.1 	16.6 	14.7 bd	12.8 d	13.4 d	12.6 d
A,PC,M,Y20-64,NEU27_2020_FOR,HR	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,HU	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,IE	12.6 	9.9 	8.6 b	6.8 	5.7 u	7.2 u	7.1 bu	4.3 u	4.8 u	5.0 u
A,PC,M,Y20-64,NEU27_2020_FOR,IS	: u	: u	: u	: u	: u	: bu	: bu	: u	12.2 	10.7 
A,PC,M,Y20-64,NEU27_2020_FOR,IT	14.8 	13.4 	12.4 	11.8 b	11.2 	11.0 	12.3 b	9.8 	9.6 	8.8 
A,PC,M,Y20-64,NEU27_2020_FOR,LT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,LU	14.0 b	17.7 	13.8 	12.9 	7.8 u	10.1 	8.4 b	9.1 	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,LV	14.1 	12.6 	14.0 	12.5 	8.0 	10.4 	10.4 b	9.7 	9.2 	12.2 
A,PC,M,Y20-64,NEU27_2020_FOR,ME	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,M,Y20-64,NEU27_2020_FOR,MK	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,M,Y20-64,NEU27_2020_FOR,MT	: u	: u	7.9 	10.3 	7.5 	9.4 	5.6 b	8.2 	5.8 	4.1 
A,PC,M,Y20-64,NEU27_2020_FOR,NL	14.4 	11.6 	10.9 	8.2 	7.6 	8.8 	8.6 b	7.3 	8.4 	8.6 
A,PC,M,Y20-64,NEU27_2020_FOR,NO	14.6 	16.7 	14.5 u	12.0 u	11.8 u	11.5 u	10.3 bu	: u	9.0 u	10.5 u
A,PC,M,Y20-64,NEU27_2020_FOR,PL	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,PT	17.8 	18.9 	12.2 	: u	7.5 	12.0 	: bu	9.5 u	6.6 	9.5 
A,PC,M,Y20-64,NEU27_2020_FOR,RO	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,RS	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,SE	27.3 	28.2 	25.3 	26.2 b	22.0 	27.8 	24.6 b	18.0 	17.9 	18.1 
A,PC,M,Y20-64,NEU27_2020_FOR,SI	8.5 u	6.8 u	5.2 u	4.5 u	3.5 u	2.9 u	: bu	3.0 u	2.1 u	2.8 u
A,PC,M,Y20-64,NEU27_2020_FOR,SK	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,M,Y20-64,NEU27_2020_FOR,UK	7.3 	6.4 	5.8 	5.2 	5.5 	: 	: 	: 	: 	: 
A,PC,T,Y20-64,EU27_2020_FOR,AT	8.3 	8.3 	6.7 	6.1 	5.8 	8.5 	9.0 b	6.7 	7.1 	6.9 
A,PC,T,Y20-64,EU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,BE	10.9 	9.8 	9.9 b	8.3 	7.0 	7.1 	7.3 b	6.1 	6.8 	6.8 
A,PC,T,Y20-64,EU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,CH	6.0 	6.3 	6.2 	5.7 	5.1 	5.7 	6.3 b	5.1 	4.6 	5.4 
A,PC,T,Y20-64,EU27_2020_FOR,CY	17.2 	13.7 	10.0 	9.0 	6.5 	9.3 	8.5 b	5.3 	5.4 	5.3 
A,PC,T,Y20-64,EU27_2020_FOR,CZ	4.0 u	4.3 u	2.0 u	2.0 u	2.2 u	2.1 u	1.8 bu	2.2 u	3.4 u	3.6 
A,PC,T,Y20-64,EU27_2020_FOR,DE	6.4 	5.4 	4.9 	4.5 	4.2 	5.7 b	5.1 b	4.2 	3.9 	4.4 
A,PC,T,Y20-64,EU27_2020_FOR,DK	11.7 	11.2 b	9.9 b	11.4 	7.9 	6.7 	7.6 b	8.0 	9.1 b	9.5 
A,PC,T,Y20-64,EU27_2020_FOR,EE	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,EL	24.8 	27.4 	25.4 	25.3 	26.6 	27.8 	24.8 b	26.8 	17.5 u	20.9 
A,PC,T,Y20-64,EU27_2020_FOR,ES	25.6 	22.6 	20.0 	17.3 	15.2 	19.6 	18.5 bd	15.5 d	14.1 d	12.1 d
A,PC,T,Y20-64,EU27_2020_FOR,EU27_2020	12.0 	10.4 	9.2 	8.3 	7.8 	9.1 	8.7 b	7.1 	6.9 	7.0 
A,PC,T,Y20-64,EU27_2020_FOR,FI	12.3 	9.4 u	9.5 	10.6 	7.2 u	9.6 u	12.3 b	9.0 	9.9 u	12.5 
A,PC,T,Y20-64,EU27_2020_FOR,FR	12.5 	10.4 	8.7 	8.5 	8.4 	7.0 	8.0 bd	7.4 d	6.9 d	9.1 d
A,PC,T,Y20-64,EU27_2020_FOR,HR	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,HU	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,IE	10.1 	7.9 	6.4 b	5.8 	4.8 	6.3 	7.0 b	4.5 	4.4 	4.6 
A,PC,T,Y20-64,EU27_2020_FOR,IS	8.0 	: u	: u	: u	: u	12.3 b	12.4 b	7.4 	3.9 	6.3 
A,PC,T,Y20-64,EU27_2020_FOR,IT	15.1 	14.0 	13.2 	13.4 b	13.8 	13.2 	13.4 b	11.8 	11.3 	9.7 
A,PC,T,Y20-64,EU27_2020_FOR,LT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,LU	7.8 b	6.7 	5.4 	5.1 	6.0 	6.8 	4.8 b	3.5 	4.1 	5.1 
A,PC,T,Y20-64,EU27_2020_FOR,LV	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,ME	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,T,Y20-64,EU27_2020_FOR,MK	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,T,Y20-64,EU27_2020_FOR,MT	: u	: u	2.9 u	4.9 u	3.5 u	5.0 	3.7 b	3.5 u	3.1 u	2.5 u
A,PC,T,Y20-64,EU27_2020_FOR,NL	9.6 	6.8 	4.5 	4.5 	3.9 	3.8 	4.9 b	2.4 	4.0 	4.5 
A,PC,T,Y20-64,EU27_2020_FOR,NO	7.7 	6.2 	5.8 u	5.8 	5.3 	7.6 	6.1 b	4.0 u	5.3 	4.4 u
A,PC,T,Y20-64,EU27_2020_FOR,PL	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,PT	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,RO	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,RS	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,SE	8.4 	7.7 	8.1 	4.3 b	5.8 	9.0 	7.8 b	6.9 	7.6 	8.2 
A,PC,T,Y20-64,EU27_2020_FOR,SI	12.1 u	13.5 u	: u	: u	7.8 u	11.7 u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,SK	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,EU27_2020_FOR,UK	4.6 	4.2 	3.6 	2.8 	2.9 	: 	: 	: 	: 	: 
A,PC,T,Y20-64,NAT,AT	4.6 	4.7 	4.3 	3.7 	3.4 	3.9 	4.6 b	3.4 	3.6 	3.6 
A,PC,T,Y20-64,NAT,BA	: 	: 	: 	: 	: 	: 	17.1 b	15.2 	13.0 	12.9 
A,PC,T,Y20-64,NAT,BE	7.4 	6.8 	6.1 b	5.0 	4.6 	4.8 	5.3 b	4.7 	4.6 	4.7 
A,PC,T,Y20-64,NAT,BG	9.1 	7.5 	6.1 	5.1 	4.1 b	5.0 	5.1 b	4.1 	4.3 	4.1 
A,PC,T,Y20-64,NAT,CH	3.3 	3.5 	3.5 	3.4 	3.1 	3.6 	3.6 b	3.0 	2.9 	2.9 
A,PC,T,Y20-64,NAT,CY	15.2 	13.1 	11.3 	8.4 	7.5 	7.3 	6.6 b	5.7 	5.3 	4.3 
A,PC,T,Y20-64,NAT,CZ	5.0 	3.9 	2.8 	2.2 	2.0 	2.5 	2.8 b	2.1 	2.5 	2.4 
A,PC,T,Y20-64,NAT,DE	4.1 	3.5 	3.1 	2.8 	2.5 	3.0 b	2.9 b	2.5 	2.4 	2.5 
A,PC,T,Y20-64,NAT,DK	5.3 	5.0 b	4.8 b	4.2 	4.4 	4.8 	4.4 b	3.6 	4.2 b	4.9 
A,PC,T,Y20-64,NAT,EE	5.8 	5.9 	5.0 	4.4 	3.9 	6.2 	5.3 b	4.9 	5.5 	6.5 
A,PC,T,Y20-64,NAT,EL	24.5 	23.1 	21.0 	18.8 	16.7 	15.6 	14.3 b	12.0 	10.8 	9.8 
A,PC,T,Y20-64,NAT,ES	20.5 	18.4 	16.0 	14.0 	12.9 	13.8 	13.4 bd	11.7 d	10.9 d	10.0 d
A,PC,T,Y20-64,NAT,EU27_2020	9.3 	8.5 	7.5 	6.6 	6.1 	6.3 	6.3 b	5.5 	5.4 	5.1 
A,PC,T,Y20-64,NAT,FI	8.5 	7.9 	7.8 	6.5 	5.8 	6.8 	6.6 b	6.0 	6.0 	6.9 
A,PC,T,Y20-64,NAT,FR	9.3 	9.0 	8.4 	8.2 	7.7 	7.2 	7.1 bd	6.5 d	6.5 d	6.4 d
A,PC,T,Y20-64,NAT,HR	15.5 	12.4 	10.6 	8.0 	6.3 	6.9 	7.1 b	6.5 	5.8 	4.7 
A,PC,T,Y20-64,NAT,HU	6.7 	5.0 	4.1 	3.5 b	3.3 	4.1 	3.9 b	3.5 	3.9 	4.3 
A,PC,T,Y20-64,NAT,IE	9.3 	7.9 	6.3 b	5.1 	4.4 	4.9 	5.4 b	3.9 	3.6 	3.5 
A,PC,T,Y20-64,NAT,IS	3.3 	2.6 	2.3 	2.2 	3.0 	4.5 b	4.9 b	2.8 	2.5 	2.4 
A,PC,T,Y20-64,NAT,IT	11.2 	11.1 	10.7 	10.0 b	9.3 	8.7 	8.8 b	7.5 	7.1 	6.0 
A,PC,T,Y20-64,NAT,LT	9.2 	8.0 	7.2 	6.3 	6.4 	8.8 	7.3 b	6.1 	7.0 	7.2 
A,PC,T,Y20-64,NAT,LU	3.8 b	3.8 	3.6 	4.0 	3.7 	4.2 	3.6 b	3.6 	4.2 	4.9 
A,PC,T,Y20-64,NAT,LV	9.4 	9.4 	8.4 	7.0 	6.2 	8.0 	7.3 b	6.6 	6.5 	6.8 
A,PC,T,Y20-64,NAT,ME	17.3 	17.4 	16.1 	15.5 	15.6 	18.1 	: 	: 	: 	: 
A,PC,T,Y20-64,NAT,MK	26.0 	23.4 	22.0 	20.4 	17.2 	16.3 	: 	: 	: 	: 
A,PC,T,Y20-64,NAT,MT	4.9 	4.4 	3.2 	2.8 	2.5 	3.4 	3.0 b	2.2 	2.4 	2.2 
A,PC,T,Y20-64,NAT,NL	6.0 	5.2 	4.2 	3.2 	2.8 	3.1 	3.2 b	2.8 	2.7 	2.8 
A,PC,T,Y20-64,NAT,NO	3.2 	3.6 	3.2 	2.8 	2.7 	3.2 	3.0 b	2.3 	2.2 	2.5 
A,PC,T,Y20-64,NAT,PL	7.4 	6.0 	4.8 	3.8 	3.2 b	3.1 	3.4 b	2.8 	2.7 	2.8 
A,PC,T,Y20-64,NAT,PT	12.3 	11.0 	8.8 	6.8 	6.2 	6.7 	6.6 b	5.9 	6.1 	5.9 
A,PC,T,Y20-64,NAT,RO	6.7 	5.7 	4.8 	4.0 	3.7 	4.8 	5.3 b	5.3 	5.2 	4.9 
A,PC,T,Y20-64,NAT,RS	17.8 	15.6 	13.6 	12.9 	10.6 	9.2 	11.1 b	9.4 	9.3 	8.6 
A,PC,T,Y20-64,NAT,SE	5.7 	5.0 	4.7 	4.2 b	4.5 	5.5 	6.3 b	5.1 	5.3 	6.0 
A,PC,T,Y20-64,NAT,SI	8.8 	7.8 	6.4 	5.0 	4.2 	4.8 	4.5 b	3.7 	3.3 	3.1 
A,PC,T,Y20-64,NAT,SK	11.3 	9.5 	7.9 	6.4 	5.6 	6.6 	6.7 b	6.0 	5.7 	5.1 
A,PC,T,Y20-64,NAT,UK	4.5 	4.1 	3.7 	3.5 	3.2 	: 	: 	: 	: 	: 
A,PC,T,Y20-64,NEU27_2020_FOR,AT	14.5 	15.5 	14.7 	13.4 	12.7 	15.3 	15.1 b	11.4 	12.6 	12.7 
A,PC,T,Y20-64,NEU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,T,Y20-64,NEU27_2020_FOR,BE	25.1 	25.6 	23.7 b	22.0 	18.5 	19.7 	20.8 b	17.1 	15.9 	16.4 
A,PC,T,Y20-64,NEU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,NEU27_2020_FOR,CH	13.9 	13.5 	12.9 	13.3 	12.2 	12.5 	13.3 b	10.7 	10.5 	11.5 
A,PC,T,Y20-64,NEU27_2020_FOR,CY	8.8 	10.1 	10.4 	7.2 	5.2 	8.4 	9.5 b	9.9 	8.7 	7.2 
A,PC,T,Y20-64,NEU27_2020_FOR,CZ	4.1 u	3.8 u	3.4 u	2.2 u	2.7 u	3.2 u	3.7 b	2.7 u	3.0 	3.6 
A,PC,T,Y20-64,NEU27_2020_FOR,DE	11.6 	11.5 	11.0 	10.1 	9.3 	12.2 b	9.9 b	8.2 	8.2 	9.7 
A,PC,T,Y20-64,NEU27_2020_FOR,DK	15.7 	14.7 b	13.1 b	11.3 	9.4 	11.4 	9.1 b	9.6 	10.0 b	11.8 
A,PC,T,Y20-64,NEU27_2020_FOR,EE	9.7 	12.6 	10.4 	9.8 	7.6 	10.6 	11.3 b	9.2 	10.1 	12.3 
A,PC,T,Y20-64,NEU27_2020_FOR,EL	31.7 	29.6 	27.7 	26.8 	26.4 	28.7 	23.6 b	19.0 	15.7 	15.5 
A,PC,T,Y20-64,NEU27_2020_FOR,ES	32.1 	27.9 	25.1 	23.5 	22.2 	26.6 	24.3 bd	20.4 d	18.5 d	18.1 d
A,PC,T,Y20-64,NEU27_2020_FOR,EU27_2020	20.0 	18.7 	17.2 	15.8 	14.6 	16.8 	15.5 b	12.9 	12.2 	12.3 
A,PC,T,Y20-64,NEU27_2020_FOR,FI	21.2 	23.6 	18.6 	19.3 	15.0 	16.4 	15.8 b	13.4 	17.2 	19.9 
A,PC,T,Y20-64,NEU27_2020_FOR,FR	24.6 	24.2 	23.3 	20.7 	18.0 	18.2 	16.2 bd	14.7 d	14.3 d	14.3 d
A,PC,T,Y20-64,NEU27_2020_FOR,HR	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,NEU27_2020_FOR,HU	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,NEU27_2020_FOR,IE	13.0 	10.3 	8.6 b	7.9 	6.7 	8.2 	7.4 b	5.8 	5.7 	6.3 
A,PC,T,Y20-64,NEU27_2020_FOR,IS	: u	: u	: u	: u	: u	19.2 b	14.1 b	: u	11.2 	8.3 
A,PC,T,Y20-64,NEU27_2020_FOR,IT	16.4 	15.6 	14.6 	13.9 b	13.4 	12.9 	14.5 b	11.9 	11.3 	10.0 
A,PC,T,Y20-64,NEU27_2020_FOR,LT	: u	: u	: u	: u	: u	: u	10.2 bu	8.6 u	6.2 u	8.8 u
A,PC,T,Y20-64,NEU27_2020_FOR,LU	15.1 b	16.4 	16.0 	15.3 	10.3 	16.4 	12.1 b	8.9 	9.2 u	12.8 
A,PC,T,Y20-64,NEU27_2020_FOR,LV	13.3 	12.8 	12.1 	11.4 	7.4 	10.7 	11.1 b	9.9 	7.9 	9.6 
A,PC,T,Y20-64,NEU27_2020_FOR,ME	15.5 u	16.0 u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,T,Y20-64,NEU27_2020_FOR,MK	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,T,Y20-64,NEU27_2020_FOR,MT	: u	3.6 u	6.5 	7.3 	9.1 	9.2 	5.7 b	6.6 	5.0 	4.5 
A,PC,T,Y20-64,NEU27_2020_FOR,NL	15.5 	13.3 	11.4 	9.2 	8.5 	9.7 	11.5 b	8.7 	9.9 	9.7 
A,PC,T,Y20-64,NEU27_2020_FOR,NO	15.5 	16.3 	14.5 	12.7 	10.6 	12.4 	12.8 b	7.4 u	10.0 	11.8 
A,PC,T,Y20-64,NEU27_2020_FOR,PL	: u	: u	9.2 u	: u	5.6 bu	: u	: bu	: u	4.4 u	3.3 u
A,PC,T,Y20-64,NEU27_2020_FOR,PT	21.2 	18.5 	13.7 	10.9 	11.8 	14.4 	12.2 bu	13.9 	11.1 	13.1 
A,PC,T,Y20-64,NEU27_2020_FOR,RO	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,NEU27_2020_FOR,RS	: u	25.1 u	34.6 u	: u	: u	: u	: bu	: u	18.2 u	10.8 u
A,PC,T,Y20-64,NEU27_2020_FOR,SE	28.0 	28.6 	27.5 	28.4 b	25.6 	31.9 	30.8 b	23.1 	23.4 	22.7 
A,PC,T,Y20-64,NEU27_2020_FOR,SI	14.6 	13.1 	10.1 u	8.4 u	6.8 u	6.6 u	7.4 bu	6.0 u	4.2 u	5.8 
A,PC,T,Y20-64,NEU27_2020_FOR,SK	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,T,Y20-64,NEU27_2020_FOR,UK	8.4 	7.7 	7.4 	6.8 	6.6 	: 	: 	: 	: 	: 
